cond,leg,P_imp_over_median,spikes
verified+G3,rm,1.2019330393955476,3098
verified+G3,rh,1.1699535187033305,3826
verified+G3,lf,1.5271101521492911,3426
verified+G3,lm,1.2718028991932087,2950
verified+G3,lh,1.0377948610959888,4666
verified+G3,rf,1.5409450637134074,3773
verified+G3,rm,1.2099612326502558,3003
verified+G3,rh,1.6207443736029477,3963
verified+G3,lf,1.756290370457012,3439
verified+G3,lm,2.2913080055553725,3263
verified+G3,lh,1.284682164301863,4885
verified+G3,rf,1.9137601864693345,4459
verified+G3,rm,1.261760907282816,3124
verified+G3,rh,0.9382069001338946,4094
H5,lf,1.0805042559086753,1952
H5,lm,1.0078597368721636,1556
H5,lh,0.9905439753037457,1754
H5,rf,0.9724296041108247,2306
H5,rm,1.675099279615418,1645
H5,rh,1.0199090298975033,1844
H5,lf,1.927876463529796,1819
H5,lm,1.6528965936578115,1728
H5,lh,1.3650908141708251,1841
H5,rf,3.375141117296072,2368
H5,rm,1.5708483367265191,2013
H5,rh,1.1054549338857398,1890
H5,lf,1.8155092760668592,2417
H5,lm,1.5473495325045206,1582
H5,lh,2.872800027183249,1833
H5,rf,1.4519631010538832,2681
H5,rm,0.86566656904082,1812
H5,rh,1.1485481084069498,1873
H5,lf,2.72277560481493,1816
H5,lm,1.1215864029940958,1492
H5,lh,1.158725088656301,1721
H5,rf,2.203321081411446,2375
H5,rm,1.9472230053876096,1611
H5,rh,2.2103593762674265,1851
H5,lf,1.3025881845982155,1826
H5,lm,1.008242711969694,1564
H5,lh,1.6603474144843107,1696
H5,rf,1.9149053439645272,2404
H5,rm,2.2058770936589025,1732
H5,rh,1.3916458384736317,1964
H5,lf,1.5260363370017822,1946
H5,lm,1.1277734256087846,1553
H5,lh,1.3867296761189833,1742
H5,rf,1.1107233099320324,2292
H5,rm,1.7748036555507294,1654
H5,rh,0.9566352906010344,1811
H5,lf,2.460767129411046,1810
H5,lm,1.2183765477129258,1746
H5,lh,1.2379067832202864,1799
H5,rf,3.0859285564962105,2390
H5,rm,1.1958562365906646,2014
H5,rh,1.317428758206862,1864
H5,lf,1.7118456502096095,2415
H5,lm,1.689277783016775,1560
H5,lh,2.1028577366610457,1846
H5,rf,1.5929123937419283,2699
H5,rm,0.9024533723255331,1793
H5,rh,0.9091554976926649,1887
H5,lf,2.4325978155481303,1803
H5,lm,1.080601090098692,1491
H5,lh,1.0098581309959378,1703
H5,rf,1.9940524414097063,2388
H5,rm,1.8551705193395107,1651
H5,rh,1.9554870298368348,1841
H5,lf,1.2271261948364682,1819
H5,lm,1.1438990573403043,1550
H5,lh,1.476130202543152,1691
H5,rf,1.703115478220611,2387
H5,rm,1.95424205707627,1722
H5,rh,1.0912627122481084,1941
H5,lf,1.1076590234171413,2047
H5,lm,1.960546159657933,1633
H5,lh,0.9596471145197387,1776
H5,rf,1.0593587931835178,2365
H5,rm,1.0856922904201949,1660
H5,rh,1.2511863633659535,1846
H5,lf,1.9336071469624,1855
H5,lm,1.752545623932016,1791
H5,lh,1.1465149052810215,1927
H5,rf,2.59811637173015,2428
H5,rm,1.5189500874863129,1994
H5,rh,1.9185792344579418,1855
H5,lf,2.1966169162366405,2423
H5,lm,1.3542139355455618,1595
H5,lh,2.6512557268623684,1879
H5,rf,1.7627539889689838,2663
H5,rm,1.2491586708361047,1778
H5,rh,1.1525194973174842,1914
