mode,leg,kind,target,n_sensors,n_mn,E1,I1,bal1,E2,I2,bal2
verified_gluexc,rh,claw,FTi_flexor,25,18,355.0,0.0,1.0,201566.0,556651.0,-0.4683157987752847
verified_gluexc,rh,claw,FTi_extensor,25,2,151.0,0.0,1.0,38637.0,96145.0,-0.4266741849801902
verified_gluexc,rh,hook,all,24,63,509.0,0.0,1.0,144774.0,274832.0,-0.3099526698855593
verified_gluexc,rh,hook,FTi_flexor,24,18,346.0,0.0,1.0,50000.0,137137.0,-0.465632130471259
verified_gluexc,rh,hook,FTi_extensor,24,2,72.0,0.0,1.0,22814.0,28075.0,-0.10338187034526125
verified_gluexc,rh,club,all,71,63,79.0,0.0,1.0,69366.0,108230.0,-0.2188337575170612
verified_gluexc,rh,club,FTi_flexor,71,18,37.0,0.0,1.0,21691.0,44488.0,-0.3444748334063676
verified_gluexc,rh,club,FTi_extensor,71,2,0.0,0.0,,3591.0,9002.0,-0.4296831573096164
verified_gluexc,rh,hair,all,40,63,1347.0,0.0,1.0,852659.0,1038780.0,-0.09840179884204565
verified_gluexc,rh,hair,FTi_flexor,40,18,59.0,0.0,1.0,220516.0,143257.0,0.21238244729542874
verified_gluexc,rh,hair,FTi_extensor,40,2,9.0,0.0,1.0,73692.0,45444.0,0.2371071716357776
verified_gluexc,rh,cs,all,2,63,8.0,0.0,1.0,2188.0,582.0,0.5797833935018051
verified_gluexc,rh,cs,FTi_flexor,2,18,1.0,0.0,1.0,717.0,44.0,0.8843626806833115
verified_gluexc,rh,cs,FTi_extensor,2,2,0.0,0.0,,96.0,231.0,-0.41284403669724773
