conn,rate,cond,seed,total_spikes,frac_active,DNp09_left,DNp09_right,MDN_left,MDN_right,DNa01_left,DNa01_right,DNa02_left,DNa02_right
real,vin5,sim,1008,474847,0.061483420971011046,0.0,0.0,0.0,0.0,18.0,9.0,57.0,0.0
real,vin5,sim,1009,475556,0.061620467545207336,0.0,0.0,0.0,0.0,16.0,13.0,57.0,0.0
real,vin5,esq,1000,468459,0.060906382763868755,0.0,0.0,0.0,0.0,25.0,9.0,52.0,0.0
real,vin5,esq,1001,468679,0.06100015147252937,0.0,0.0,0.0,0.0,21.0,4.0,48.0,0.0
real,vin5,esq,1002,468383,0.06116604995708278,0.0,0.0,0.0,0.0,15.0,10.0,53.0,0.0
real,vin5,esq,1003,469872,0.061108346136368556,0.0,0.0,0.0,0.0,18.0,9.0,52.0,1.0
real,vin5,esq,1004,468730,0.06083425298797596,0.0,0.0,0.0,0.0,23.0,8.0,49.0,0.0
real,vin5,esq,1005,470115,0.061072281248422164,0.0,0.0,0.0,0.0,21.0,5.0,55.0,0.0
real,vin5,esq,1006,469094,0.06097129956217226,0.0,0.0,0.0,0.0,18.0,10.0,48.0,1.0
real,vin5,esq,1007,470419,0.061072281248422164,0.0,0.0,0.0,0.0,15.0,5.0,52.0,0.0
real,vin5,esq,1008,469846,0.060891956808690195,0.0,0.0,0.0,0.0,19.0,3.0,54.0,0.0
real,vin5,esq,1009,471127,0.06084867894315452,0.0,0.0,0.0,0.0,20.0,9.0,56.0,1.0
real,vin5,dir,1000,468627,0.06079097512244029,0.0,0.0,0.0,0.0,20.0,9.0,53.0,0.0
real,vin5,dir,1001,469334,0.061101133158779276,0.0,0.0,0.0,0.0,20.0,11.0,45.0,1.0
real,vin5,dir,1002,468822,0.06094966062940443,0.0,0.0,0.0,0.0,19.0,7.0,51.0,0.0
real,vin5,dir,1003,468318,0.061050642315654324,0.0,0.0,0.0,0.0,18.0,8.0,52.0,0.0
real,vin5,dir,1004,469140,0.06094966062940443,0.0,0.0,0.0,0.0,22.0,6.0,55.0,0.0
real,vin5,dir,1005,469960,0.06094244765181515,0.0,0.0,0.0,0.0,25.0,9.0,53.0,0.0
real,vin5,dir,1006,468853,0.061036216360475765,0.0,0.0,0.0,0.0,17.0,9.0,51.0,0.0
real,vin5,dir,1007,468893,0.06128867057610052,0.0,0.0,0.0,0.0,20.0,8.0,46.0,0.0
real,vin5,dir,1008,468979,0.06116604995708278,0.0,0.0,0.0,0.0,18.0,8.0,51.0,1.0
real,vin5,dir,1009,469969,0.060906382763868755,0.0,0.0,0.0,0.0,16.0,10.0,56.0,2.0
emb0,none,control,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,none,control,1001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,none,control,1002,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,none,control,1003,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,none,control,1004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,none,control,1005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,none,control,1006,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,none,control,1007,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,none,control,1008,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,none,control,1009,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r20,sim,1000,2652,0.0011612893918738593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r20,sim,1001,2736,0.0011973542798202526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r20,sim,1002,2700,0.0011829283246416954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb0,r20,sim,1003,2713,0.0011685023694631381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
